Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Talal Mansour Bakhit Al-Rahim,M,24,180,73,Qatar,QAT,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Talal Mansour Bakhit Al-Rahim,M,28,180,73,Qatar,QAT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,0
Suthi Manyakass,M,22,160,60,Thailand,THA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
Suthi Manyakass,M,26,160,60,Thailand,THA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,0
"Rodney John ""Rod"" Mapstone",M,26,176,76,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Bernard Marchand,M,24,0,0,Switzerland,SUI,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,0
Bruno Marie-Rose,M,19,193,83,France,FRA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Anninos Markoullidis,M,25,188,78,Cyprus,CYP,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Anninos Markoullidis,M,29,188,78,Cyprus,CYP,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
Mario de Arajo Marques,M,0,178,0,Brazil,BRA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
"Michael Lawrence ""Mike"" Marsh",M,28,178,75,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
George Herbert Marshall,M,0,0,0,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,0
"Frederick George ""Fred"" Martin",M,17,181,76,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Churandy Thomas Martina,M,20,180,76,Netherlands Antilles,AHO,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Churandy Thomas Martina,M,24,180,76,Netherlands Antilles,AHO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Churandy Thomas Martina,M,28,180,76,Netherlands,NED,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Churandy Thomas Martina,M,32,180,76,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
Faraj Abdullah Saad Marzouk,M,0,175,70,Qatar,QAT,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Jarbas Mascarenhas Jnior,M,23,185,80,Brazil,BRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Flix Mata,M,21,180,77,Venezuela,VEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Emmanuel Matadi,M,25,0,0,Liberia,LBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
Moustafa Matola,M,23,163,55,Malawi,MAW,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Jaroslav Matouek,M,21,182,72,Czechoslovakia,TCH,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Sven Matthes,M,19,186,77,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Risto Oiva Kalervo Mattila,M,18,0,0,Finland,FIN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Maung Sein Pe,M,0,0,0,Myanmar,MYA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
"William Wyman ""Willie"" May",M,21,175,73,United States,USA,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 100 metres,0
Freddy Santiago Mayola Fernndez,M,22,176,74,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
Frank Maziya,M,27,0,0,Swaziland,SWZ,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Ral Giraldo Mazorra Zamora,M,19,173,68,Cuba,CUB,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
Ral Giraldo Mazorra Zamora,M,23,173,68,Cuba,CUB,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
Amadou M'Bagnick M'Baye,M,24,188,75,Senegal,SEN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Martial Mbandjock,M,22,187,84,France,FRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Charles Mbazira,M,26,167,60,Uganda,UGA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
"Robert Francis ""Bob"" McAllister",M,28,170,71,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Thaddeus Brew McClain,M,23,0,0,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,0
Frank Duncan McConnell,M,25,0,0,Canada,CAN,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Alastair McCorquodale,M,22,183,78,Great Britain,GBR,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
"James Donald ""Don"" McFarlane",M,21,173,68,Canada,CAN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
"Michael Anthony ""Mike"" McFarlane",M,24,178,74,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
"Herbert Henry ""Herb"" McKenley",M,30,185,72,Jamaica,JAM,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,Silver
Basil Levy McKenzie,M,0,0,0,Jamaica,JAM,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
"Andrew Emlyn ""Drew"" McMaster",M,23,166,68,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,0
Pablo S. McNeil,M,25,180,75,Jamaica,JAM,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,0
Pablo S. McNeil,M,29,180,75,Jamaica,JAM,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,0
"Howard McLeod ""Howie"" McPhee",M,20,178,73,Canada,CAN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,0
"Alfred F. ""Alf"" Meakin",M,26,176,77,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,0
Edmond Mdcin,M,21,0,0,Monaco,MON,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,0
Vitaly Medvedev,M,19,173,64,Kazakhstan,KAZ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Vitaly Medvedev,M,23,173,64,Kazakhstan,KAZ,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
"Johannes Michal ""Jan"" Meijer",M,27,0,0,Netherlands,NED,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
Amadou Mit,M,22,171,63,Cote d'Ivoire,CIV,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Amadou Mit,M,26,171,63,Cote d'Ivoire,CIV,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
Ben Youssef Mit,M,25,180,75,Cote d'Ivoire,CIV,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Ben Youssef Mit,M,29,180,75,Cote d'Ivoire,CIV,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
Ibrahim Mit,M,23,183,75,Cote d'Ivoire,CIV,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
Adalberto Mndez Q.,M,21,174,72,Dominican Republic,DOM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Flix Mendizbal Mendiburu,M,29,0,0,Spain,ESP,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,0
Flix Mendizbal Mendiburu,M,33,0,0,Spain,ESP,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,0
Oscar D. Meneses Gonzlez,M,23,178,69,Guatemala,GUA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
Pietro Paolo Mennea,M,28,180,73,Italy,ITA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,0
Collins Mensah,M,23,180,77,Ghana,GHA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Franois Mersch,M,23,180,73,Luxembourg,LUX,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,0
Henri Meslot,M,23,0,0,France,FRA,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 100 metres,0
Barnab Messomo,M,27,0,0,Cameroon,CMR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Ralph Harold Metcalfe,M,22,180,82,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,Silver
Ralph Harold Metcalfe,M,26,180,82,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,Silver
Joseph Obinna Metu,M,20,189,76,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Joseph Obinna Metu,M,24,189,76,Nigeria,NGR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Gert Metz,M,26,176,72,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,0
Alvah T. Meyer,M,23,173,65,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,Silver
